ClipContext_pair,clip_name,context_word,genre_code,TSNE1,TSNE2
BAR-80s_LOW_02,80s_LOW_02,bar ,80s,0.80354345,0.52702314
BAR-80s_LOW_06,80s_LOW_06,bar ,80s,-0.41523495,-0.5195588
BAR-80s_MED_08,80s_MED_08,bar ,80s,-1.2163374,2.2031655
BAR-80s_MED_13,80s_MED_13,bar ,80s,-1.2764785,3.7813268
BAR-Ele_LOW_09,Ele_LOW_09,bar ,Ele,-0.83900446,5.102311
BAR-Ele_LOW_14,Ele_LOW_14,bar ,Ele,-0.603664,4.683907
BAR-Ele_MED_19,Ele_MED_19,bar ,Ele,1.0486851,1.9216629
BAR-Ele_MED_20,Ele_MED_20,bar ,Ele,1.6793196,0.7276066
BAR-Jaz_LOW_19,Jaz_LOW_19,bar ,Jaz,-0.50731045,2.8930252
BAR-Jaz_LOW_21,Jaz_LOW_21,bar ,Jaz,-1.266131,2.5524678
BAR-Jaz_MED_02,Jaz_MED_02,bar ,Jaz,0.6652867,0.32603124
BAR-Jaz_MED_07,Jaz_MED_07,bar ,Jaz,-0.282353,0.6569453
BAR-Met_LOW_09,Met_LOW_09,bar ,Met,1.4716196,4.855292
BAR-Met_LOW_14,Met_LOW_14,bar ,Met,1.1831737,6.7161956
BAR-Met_MED_19,Met_MED_19,bar ,Met,0.2623136,5.2216563
BAR-Met_MED_20,Met_MED_20,bar ,Met,0.5126808,6.417168
CONCERT-80s_LOW_02,80s_LOW_02,concert ,80s,-0.08273623,2.0675485
CONCERT-80s_LOW_06,80s_LOW_06,concert ,80s,-1.7906483,1.4402606
CONCERT-80s_MED_08,80s_MED_08,concert ,80s,-0.74280614,2.829626
CONCERT-80s_MED_13,80s_MED_13,concert ,80s,0.64714676,1.7479839
CONCERT-Ele_LOW_09,Ele_LOW_09,concert ,Ele,-0.24231501,4.695962
CONCERT-Ele_LOW_14,Ele_LOW_14,concert ,Ele,-1.5691098,5.302086
CONCERT-Ele_MED_19,Ele_MED_19,concert ,Ele,1.5400037,0.63287383
CONCERT-Ele_MED_20,Ele_MED_20,concert ,Ele,0.9859081,3.1917555
CONCERT-Jaz_LOW_19,Jaz_LOW_19,concert ,Jaz,-0.72722465,3.2386277
CONCERT-Jaz_LOW_21,Jaz_LOW_21,concert ,Jaz,-1.6317863,2.7983432
CONCERT-Jaz_MED_02,Jaz_MED_02,concert ,Jaz,1.122984,0.06639659
CONCERT-Jaz_MED_07,Jaz_MED_07,concert ,Jaz,0.30880865,-0.2916332
CONCERT-Met_LOW_09,Met_LOW_09,concert ,Met,0.5905107,5.5494947
CONCERT-Met_LOW_14,Met_LOW_14,concert ,Met,1.1603793,4.8967037
CONCERT-Met_MED_19,Met_MED_19,concert ,Met,0.57719636,6.243911
