type,sim
sContext_dGenre,0.9579709
sContext_dGenre,0.98410505
sContext_dGenre,0.9592973
sContext_dGenre,0.967094
sContext_dGenre,0.9735897
sContext_dGenre,0.96729016
sContext_dGenre,0.97381115
sContext_dGenre,0.98286724
sContext_dGenre,0.9778898
sContext_dGenre,0.9687392
sContext_dGenre,0.9653027
sContext_dGenre,0.97495705
sContext_dGenre,0.97451687
sContext_dGenre,0.9725654
sContext_dGenre,0.9694352
sContext_dGenre,0.9689455
sContext_dGenre,0.96910465
sContext_dGenre,0.9656981
sContext_dGenre,0.9751861
sContext_dGenre,0.96510524
sContext_dGenre,0.94930136
sContext_dGenre,0.9698626
sContext_dGenre,0.9748701
sContext_dGenre,0.9448358
dContext_sGenre,0.9708017
dContext_sGenre,0.9712851
dContext_sGenre,0.9761406
dContext_sGenre,0.98313403
dContext_sGenre,0.9717207
dContext_sGenre,0.9742414
dContext_sGenre,0.97334945
dContext_sGenre,0.9792936
dContext_sGenre,0.9623387
dContext_sGenre,0.9711522
dContext_sGenre,0.97903997
dContext_sGenre,0.9762272
dContext_sGenre,0.96841335
dContext_sGenre,0.9798234
dContext_sGenre,0.97097623
dContext_sGenre,0.9806034
dContext_sGenre,0.9689889
dContext_sGenre,0.968669
dContext_sGenre,0.98385674
dContext_sGenre,0.9733583
dContext_sGenre,0.9615053
dContext_sGenre,0.9730848
dContext_sGenre,0.97061676
dContext_sGenre,0.9754592
dContext_dGenre,0.9706292
dContext_dGenre,0.9731905
dContext_dGenre,0.9715786
dContext_dGenre,0.9747733
dContext_dGenre,0.9729429
dContext_dGenre,0.9691714
dContext_dGenre,0.97272795
dContext_dGenre,0.97730196
dContext_dGenre,0.9799361
dContext_dGenre,0.96037716
dContext_dGenre,0.9711523
dContext_dGenre,0.96285856
dContext_dGenre,0.9639925
dContext_dGenre,0.9715364
dContext_dGenre,0.9627299
dContext_dGenre,0.97798955
dContext_dGenre,0.9674734
dContext_dGenre,0.9619596
dContext_dGenre,0.97469914
dContext_dGenre,0.97220993
dContext_dGenre,0.97061384
dContext_dGenre,0.97661513
dContext_dGenre,0.97658515
dContext_dGenre,0.9693424
dContext_dGenre,0.96047974
dContext_dGenre,0.9626382
dContext_dGenre,0.964102
dContext_dGenre,0.97402024
dContext_dGenre,0.9637635
dContext_dGenre,0.9605949
dContext_dGenre,0.9552851
dContext_dGenre,0.97484386
dContext_dGenre,0.9560908
dContext_dGenre,0.9642755
dContext_dGenre,0.9708272
dContext_dGenre,0.9760459
dContext_dGenre,0.9790025
dContext_dGenre,0.9648426
dContext_dGenre,0.9742218
dContext_dGenre,0.9717771
dContext_dGenre,0.9794909
dContext_dGenre,0.96695685
dContext_dGenre,0.980501
dContext_dGenre,0.97389853
dContext_dGenre,0.96894145
dContext_dGenre,0.9511488
dContext_dGenre,0.94949245
dContext_dGenre,0.9749869
dContext_dGenre,0.96205354
dContext_dGenre,0.97534215
dContext_dGenre,0.9666267
dContext_dGenre,0.9616387
dContext_dGenre,0.9573245
dContext_dGenre,0.9801649
dContext_dGenre,0.98283327
dContext_dGenre,0.9588424
dContext_dGenre,0.96558005
dContext_dGenre,0.96943855
dContext_dGenre,0.97125167
dContext_dGenre,0.95153284
dContext_dGenre,0.9708488
dContext_dGenre,0.9670377
dContext_dGenre,0.9557922
dContext_dGenre,0.94199264
dContext_dGenre,0.97225404
dContext_dGenre,0.9477632
dContext_dGenre,0.96055293
dContext_dGenre,0.96161747
dContext_dGenre,0.96550775
dContext_dGenre,0.963161
dContext_dGenre,0.9631572
dContext_dGenre,0.9635935
bwContext,0.9708017
bwContext,0.9706292
bwContext,0.9731905
bwContext,0.9715786
bwContext,0.9747733
bwContext,0.9712851
bwContext,0.9729429
bwContext,0.9691714
bwContext,0.97272795
bwContext,0.97730196
bwContext,0.9761406
bwContext,0.9799361
bwContext,0.96037716
bwContext,0.9711523
bwContext,0.96285856
bwContext,0.98313403
bwContext,0.9717207
bwContext,0.9639925
bwContext,0.9715364
bwContext,0.9627299
bwContext,0.9742414
bwContext,0.97798955
bwContext,0.9674734
bwContext,0.9619596
bwContext,0.97469914
bwContext,0.97334945
bwContext,0.97220993
bwContext,0.97061384
bwContext,0.97661513
bwContext,0.9792936
bwContext,0.97658515
bwContext,0.9693424
bwContext,0.96047974
bwContext,0.9626382
bwContext,0.9623387
bwContext,0.964102
bwContext,0.97402024
bwContext,0.9637635
bwContext,0.9711522
bwContext,0.9605949
bwContext,0.9552851
bwContext,0.97484386
bwContext,0.9560908
bwContext,0.97903997
bwContext,0.9642755
bwContext,0.9708272
bwContext,0.9760459
bwContext,0.9762272
bwContext,0.96841335
bwContext,0.9790025
bwContext,0.9648426
bwContext,0.9742218
bwContext,0.9798234
bwContext,0.9717771
bwContext,0.9794909
bwContext,0.96695685
bwContext,0.97097623
bwContext,0.980501
bwContext,0.97389853
bwContext,0.96894145
bwContext,0.9511488
bwContext,0.9806034
bwContext,0.94949245
bwContext,0.9749869
bwContext,0.96205354
bwContext,0.9689889
bwContext,0.97534215
bwContext,0.9666267
bwContext,0.9616387
bwContext,0.968669
bwContext,0.9573245
bwContext,0.9801649
bwContext,0.98283327
bwContext,0.9588424
bwContext,0.98385674
bwContext,0.96558005
bwContext,0.96943855
bwContext,0.97125167
bwContext,0.9733583
bwContext,0.95153284
bwContext,0.9708488
bwContext,0.9670377
bwContext,0.9615053
bwContext,0.9557922
bwContext,0.94199264
bwContext,0.97225404
bwContext,0.9477632
bwContext,0.9730848
bwContext,0.96055293
bwContext,0.96161747
bwContext,0.96550775
bwContext,0.97061676
bwContext,0.963161
bwContext,0.9631572
bwContext,0.9635935
bwContext,0.9754592
bwGenre,0.9579709
bwGenre,0.98410505
bwGenre,0.9592973
bwGenre,0.967094
bwGenre,0.9735897
bwGenre,0.96729016
bwGenre,0.9706292
bwGenre,0.9731905
bwGenre,0.9715786
bwGenre,0.9747733
bwGenre,0.9729429
bwGenre,0.9691714
bwGenre,0.97381115
bwGenre,0.97272795
bwGenre,0.97730196
bwGenre,0.9799361
bwGenre,0.98286724
bwGenre,0.9778898
bwGenre,0.96037716
bwGenre,0.9711523
bwGenre,0.96285856
bwGenre,0.9687392
bwGenre,0.9653027
bwGenre,0.97495705
bwGenre,0.9639925
bwGenre,0.9715364
bwGenre,0.9627299
bwGenre,0.97798955
bwGenre,0.9674734
bwGenre,0.9619596
bwGenre,0.97469914
bwGenre,0.97220993
bwGenre,0.97061384
bwGenre,0.97661513
bwGenre,0.97658515
bwGenre,0.9693424
bwGenre,0.97451687
bwGenre,0.96047974
bwGenre,0.9626382
bwGenre,0.964102
bwGenre,0.97402024
bwGenre,0.9637635
bwGenre,0.9605949
bwGenre,0.9725654
bwGenre,0.9694352
bwGenre,0.9552851
bwGenre,0.97484386
bwGenre,0.9560908
bwGenre,0.9642755
bwGenre,0.9708272
bwGenre,0.9760459
bwGenre,0.9689455
bwGenre,0.96910465
bwGenre,0.9656981
bwGenre,0.9790025
bwGenre,0.9648426
bwGenre,0.9742218
bwGenre,0.9717771
bwGenre,0.9794909
bwGenre,0.96695685
bwGenre,0.980501
bwGenre,0.97389853
bwGenre,0.96894145
bwGenre,0.9511488
bwGenre,0.94949245
bwGenre,0.9749869
bwGenre,0.96205354
bwGenre,0.97534215
bwGenre,0.9666267
bwGenre,0.9616387
bwGenre,0.9573245
bwGenre,0.9801649
bwGenre,0.9751861
bwGenre,0.98283327
bwGenre,0.9588424
bwGenre,0.96558005
bwGenre,0.96943855
bwGenre,0.97125167
bwGenre,0.95153284
bwGenre,0.9708488
bwGenre,0.9670377
bwGenre,0.9557922
bwGenre,0.96510524
bwGenre,0.94930136
bwGenre,0.94199264
bwGenre,0.97225404
bwGenre,0.9477632
bwGenre,0.96055293
bwGenre,0.96161747
bwGenre,0.96550775
bwGenre,0.963161
bwGenre,0.9631572
bwGenre,0.9635935
bwGenre,0.9698626
bwGenre,0.9748701
bwGenre,0.9448358
