cond1,cond2,mean1,mean2,U,p,d,n1,n2,p_bonf,sig_bonf
SC_SX,dc_dx_dg,0.20273485850005335,0.16680430321433887,18493578627.5,0.0,0.3139117972095852,29320,1080315,0.0,***
SC_SX,dc_SX_dg,0.20273485850005335,0.17310234194937163,6005792404.5,0.0,0.25558017895502044,29320,360086,0.0,***
SC_dx,dc_dx_dg,0.19414365098762779,0.16680430321433887,55008487290.0,0.0,0.24174115854990255,90271,1080315,0.0,***
SC_SX,dc_dx_SG,0.20273485850005335,0.17670246555785693,4432052572.0,4.852641982134439e-250,0.22415197900804804,29320,269955,7.278962973201659e-249,***
SC_dx,dc_SX_dg,0.19414365098762779,0.17310234194937163,17846751685.0,0.0,0.18361833754414159,90271,360086,0.0,***
SC_SX,dc_SX_SG,0.20273485850005335,0.18258189674509004,1438271106.5,3.951647456413413e-123,0.17193648289235816,29320,89873,5.927471184620119e-122,***
SC_dx,dc_dx_SG,0.19414365098762779,0.17670246555785693,13158810526.5,3.921395709375866e-284,0.15193991487805933,90271,269955,5.8820935640638e-283,***
dc_SX_SG,dc_dx_dg,0.18258189674509004,0.16680430321433887,52310647173.0,0.0,0.14345213464608259,89873,1080315,0.0,***
SC_dx,dc_SX_SG,0.19414365098762779,0.18258189674509004,4265884536.5,2.6758043750397543e-80,0.09977615003701644,90271,89873,4.0137065625596314e-79,***
dc_dx_SG,dc_dx_dg,0.17670246555785693,0.16680430321433887,152983778910.5,0.0,0.09094287804702408,269955,1080315,0.0,***
dc_SX_SG,dc_SX_dg,0.18258189674509004,0.17310234194937163,16945386501.5,1.0097388751114382e-106,0.08499859008997501,89873,360086,1.5146083126671572e-105,***
SC_SX,SC_dx,0.20273485850005335,0.19414365098762779,1375974910.0,1.2850899463166624e-24,0.07151399812972144,29320,90271,1.9276349194749935e-23,***
dc_SX_dg,dc_dx_dg,0.17310234194937163,0.16680430321433887,200350202605.5,3.0161684017390877e-161,0.05797636590733163,360086,1080315,4.5242526026086317e-160,***
dc_SX_SG,dc_dx_SG,0.18258189674509004,0.17670246555785693,12477870401.0,6.952597259972174e-38,0.052622331122923575,89873,269955,1.042889588995826e-36,***
dc_SX_dg,dc_dx_SG,0.17310234194937163,0.17670246555785693,47687504012.5,1.2353562194590265e-37,-0.032610914358438776,360086,269955,1.85303432918854e-36,***
