genre,context,mean,std,n
80s,bar ,0.3631868110105658,0.03570343298224626,54
80s,concert ,0.3447033727190185,0.03454033478036252,54
80s,movie,0.3284122185088345,0.03242703715152086,54
80s,video game,0.3409612320879176,0.031606864868264084,54
Ele,bar ,0.33953577127447987,0.029040904377859666,38
Ele,concert ,0.328003150080492,0.04075115483418242,38
Ele,movie,0.3320613124511686,0.035807989430495776,38
Ele,video game,0.32173825922958804,0.036821607206949124,38
Jaz,bar ,0.35308885910810217,0.03618404926809774,22
Jaz,concert ,0.35716046919376937,0.0334369720995479,22
Jaz,movie,0.33428081948856675,0.03953749351353127,22
Jaz,video game,0.31425981324214886,0.029073510468410457,22
Met,bar ,0.39754698941769684,0.023173661877272038,6
Met,concert ,0.454597695522344,0.06093034757074809,6
Met,movie,0.40222681645594277,0.04700341335229874,6
Met,video game,0.39040423949061526,0.06576046752120328,6
