cond1,cond2,mean1,mean2,U,p,d,n1,n2,p_bonf,sig_bonf
SC_dx,dc_dx_dg,0.20413723206339818,0.13220624928349312,103777.0,2.5471761185375646e-46,1.9835441224928734,96,1152,2.5471761185375646e-45,***
SC_dx,dc_SX_dg,0.20413723206339818,0.14351455618030035,33248.0,3.6006223657734666e-34,1.6553598332438968,96,384,3.600622365773467e-33,***
SC_dx,dc_dx_SG,0.20413723206339818,0.15609135171302851,22659.0,6.5870981919774065e-21,1.1908809588530627,96,288,6.587098191977407e-20,***
dc_SX_SG,dc_dx_dg,0.16558035259625856,0.13220624928349312,83923.0,3.240886182769642e-17,1.015846914225329,96,1152,3.240886182769642e-16,***
SC_dx,dc_SX_SG,0.20413723206339818,0.16558035259625856,7002.0,5.070594798702616e-10,0.9639118614358639,96,96,5.070594798702616e-09,***
dc_dx_SG,dc_dx_dg,0.15609135171302851,0.13220624928349312,228748.0,2.308287512263026e-23,0.7178752503732891,288,1152,2.3082875122630263e-22,***
dc_SX_SG,dc_SX_dg,0.16558035259625856,0.14351455618030035,24772.0,1.8360837245478465e-07,0.6636644627975729,96,384,1.8360837245478464e-06,***
dc_SX_dg,dc_dx_dg,0.14351455618030035,0.13220624928349312,271525.0,2.2664376922406603e-11,0.39478475926206813,384,1152,2.2664376922406602e-10,***
dc_SX_dg,dc_dx_SG,0.14351455618030035,0.15609135171302851,45364.0,6.668184657000939e-05,-0.3736202365541847,384,288,0.0006668184657000938,***
dc_SX_SG,dc_dx_SG,0.16558035259625856,0.15609135171302851,15996.0,0.021131726061473427,0.25433306362391245,96,288,0.21131726061473427,n.s.
