,bar_80s,bar_Ele,bar_Jaz,bar_Met,con_80s,con_Ele,con_Jaz,con_Met,mov_80s,mov_Ele,mov_Jaz,mov_Met,vid_80s,vid_Ele,vid_Jaz,vid_Met
abi,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,0.02141918995918714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,0.0,0.0,0.0,0.0,0.0,0.0,0.03397879687515878,0.015722679040508683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolutely,0.01392527611239137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013098901818137514,0.0,0.013594106743855078,0.013040896512554006,0.0,0.0,0.012765566267186994
abstract,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompany,0.018653409329035957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accord,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accumulate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02005887979427125,0.0,0.0,0.0
acdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015722679040508683,0.0,0.0,0.0,0.018209796021932564,0.0,0.0,0.0,0.0
achieve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.03503878902043988,0.0,0.0
achievement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
acoustic,0.0,0.0,0.0,0.0,0.0,0.01806153304521219,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
across,0.0,0.0,0.0,0.0,0.01241001760868729,0.0,0.0,0.010851112021864697,0.023812083754084425,0.0,0.011174103961018726,0.0,0.0,0.0,0.011738256378155345,0.011801635245903237
act,0.0,0.0,0.0,0.012912475595931757,0.013423639932919344,0.0,0.012683046838974317,0.0,0.012878500597113943,0.0,0.0,0.0,0.026081793025108012,0.0,0.0,0.0
action,0.0,0.018958569501624764,0.0,0.09078583550694634,0.0,0.028440029367356345,0.0,0.033009634529269596,0.0,0.11051588708437078,0.0,0.12425177715963567,0.018337749052936843,0.055172735683257514,0.008927093192684376,0.0807776426455279
activate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018053914064480054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0.0,0.018060151685527822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751939451021994,0.0,0.0
actively,0.0,0.0,0.0,0.0,0.0,0.016161446285622487,0.0,0.014068641468207018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015301010134133337
activity,0.018653409329035957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01700810360791257,0.0
actor,0.0,0.0,0.0,0.0,0.01241001760868729,0.012465287744871982,0.0,0.010851112021864697,0.023812083754084425,0.0,0.033522311883056176,0.02513522485833349,0.0,0.0,0.0,0.0
actress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03718260621645138,0.0,0.0,0.0,0.0,0.0
actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018209796021932564,0.017468750975056475,0.0,0.0,0.0
actually,0.0,0.0,0.010489932091821585,0.0,0.0,0.01158333764991792,0.010895749440473815,0.010083368871933984,0.011063659817446022,0.0,0.01038350832847898,0.0,0.011203170869266312,0.0,0.0,0.0
ad,0.0,0.0,0.0,0.0,0.0,0.01806153304521219,0.0,0.0,0.0,0.01754645117285307,0.0,0.0,0.0,0.0,0.0,0.0
add,0.0,0.029373002347463508,0.0,0.0,0.0,0.0,0.0,0.0,0.014028675140359662,0.014268760320071593,0.0,0.0,0.0,0.028493515726514786,0.0,0.0
addition,0.0,0.020737968744507607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
admire,0.0,0.0,0.01635662024578986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751939451021994,0.0,0.0
admiring,0.0,0.0,0.0,0.0,0.0,0.0,0.019508452637683964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adrenaline,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.015168937823734503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014028675140359662,0.014268760320071593,0.013166245850017185,0.0,0.0,0.0,0.0,0.0
advance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
adventure,0.0,0.011582451747508644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04501200822414854,0.0,0.011678422608433625,0.06721902521559787,0.04494259961787466,0.010907745559697255,0.021933280430001534
adventurous,0.0,0.018060151685527822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017099936186319564
advert,0.01392527611239137,0.013482393187028343,0.0,0.0,0.0,0.013483424409507625,0.0,0.0,0.0,0.013098901818137514,0.0,0.0,0.0,0.026157406570923587,0.0,0.0
advertisement,0.0,0.036120303371055644,0.0,0.0,0.0,0.0,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerial,0.0,0.0,0.0,0.0,0.0,0.020739554921327053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aesthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016190677028342343,0.0,0.0,0.0,0.01700810360791257,0.0
afar,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affect,0.0,0.0,0.0,0.0,0.017981449583719382,0.0,0.0,0.0,0.0,0.01754645117285307,0.0,0.0,0.0,0.0,0.0,0.0
affection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859130310822569,0.0,0.0,0.0,0.0,0.0
affectionate,0.0,0.0,0.0,0.0,0.0,0.0,0.019508452637683964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
african,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afro,0.02141918995918714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon,0.015168937823734503,0.0,0.0,0.0,0.0,0.0,0.027631530946049622,0.012785670253682027,0.0,0.0,0.0,0.0,0.0,0.014246757863257393,0.0,0.0
afterwards,0.018653409329035957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.010440804607089913,0.010108742675232272,0.0,0.0,0.030194073106563055,0.0,0.0,0.008800397657408992,0.019311919890350596,0.02946363289606811,0.00906234846014383,0.0,0.009777720117714384,0.0,0.009519883651024437,0.0
ago,0.0,0.0,0.0,0.0,0.013423639932919344,0.0,0.0,0.01173740644423565,0.0,0.0,0.0,0.013594106743855078,0.0,0.0,0.012697010756080526,0.012765566267186994
agree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02005887979427125,0.0,0.0,0.0
ai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018053914064480054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aimlessly,0.0,0.0,0.0,0.0,0.041295194629724793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air,0.00979066962904217,0.0,0.01717029442172301,0.027235750652083904,0.018875952295909108,0.0,0.03566910142042149,0.024757225896952197,0.018109392394965125,0.0,0.01699609621585617,0.0,0.0,0.009195455947209585,0.0,0.017950587254561758
aisle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859130310822569,0.0,0.0,0.0,0.0,0.0
aka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020909801164588602,0.0,0.0,0.0,0.0
akin,0.0,0.0,0.0,0.0,0.0,0.020739554921327053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148100765468246,0.0,0.0,0.0,0.0,0.0,0.0
alarm,0.0,0.0,0.0,0.0,0.0,0.014687624494342735,0.027631530946049622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013830976502856484,0.013905654683529898
albeit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020909801164588602,0.0,0.0,0.0,0.0
album,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
alcohol,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfresco,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alien,0.0,0.018060151685527822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052558183530659816,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.013423639932919344,0.0,0.0,0.0234748128884713,0.0,0.013098901818137514,0.0,0.013594106743855078,0.0,0.013078703285461794,0.0,0.0
alivethis,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859130310822569,0.0,0.0,0.0,0.0,0.0
alley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014068641468207018,0.0,0.0,0.014487405718352333,0.0,0.0,0.015676341129226813,0.0,0.0
alleyway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018053914064480054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alleyways,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allow,0.0,0.016160210246008125,0.0,0.0,0.0,0.0,0.015202101039078889,0.0,0.0,0.0,0.0,0.0,0.0,0.015676341129226813,0.0,0.0
almost,0.00919714289574678,0.017809269377057724,0.016129402517086014,0.017056449327845075,0.0177316605642386,0.008905315773803057,0.008376695240369244,0.0,0.0,0.0,0.03193152899438254,0.0,0.008613042050051535,0.017276024121407288,0.025157753712745447,0.0
alone,0.029372008887126506,0.018958569501624764,0.04292573605430752,0.0,0.009437976147954554,0.009480009789118782,0.008917275355105373,0.0,0.03621878478993025,0.027628971771092695,0.0,0.0,0.036675498105873686,0.0,0.026781279578053128,0.0
alonesit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859130310822569,0.0,0.0,0.0,0.0,0.0
along,0.01958133925808434,0.0,0.0,0.0,0.037751904591818215,0.018960019578237564,0.0,0.04126204316158699,0.009054696197482563,0.0184193145140618,0.0,0.0,0.018337749052936843,0.009195455947209585,0.008927093192684376,0.008975293627280879
alongside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02005887979427125,0.0,0.0,0.0
already,0.018653409329035957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01700810360791257,0.0
alsothe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02005887979427125,0.0,0.0,0.0
alter,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alternative,0.0,0.0,0.0,0.015477097984908927,0.0,0.0,0.0,0.014068641468207018,0.0,0.0,0.0,0.016294111886511115,0.0,0.0,0.0,0.0
although,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01173740644423565,0.0,0.013098901818137514,0.0,0.013594106743855078,0.013040896512554006,0.0,0.012697010756080526,0.0
always,0.011962923525897964,0.0,0.02097986418364317,0.011092847052899708,0.0,0.0,0.010895749440473815,0.020166737743867968,0.0,0.0,0.01038350832847898,0.011678422608433625,0.0,0.0,0.0,0.0
amalgamation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
amaze,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039618180415629506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambiance,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambience,0.015168937823734503,0.0,0.013301190744182649,0.0,0.0,0.0,0.0,0.0,0.0,0.014268760320071593,0.013166245850017185,0.0,0.0,0.0,0.0,0.0
ambient,0.012873775117940491,0.01246433439025354,0.0,0.0,0.02482003521737458,0.0,0.011725346879834451,0.0,0.0,0.0,0.0,0.0,0.012056175237312684,0.01209112721158031,0.0,0.0
ambition,0.0,0.0,0.0,0.0,0.0,0.020739554921327053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
america,0.037306818658071915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751939451021994,0.0,0.0
american,0.0,0.0,0.06650595372091324,0.014065684434859057,0.0,0.0,0.0,0.012785670253682027,0.028057350280719325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amidst,0.0,0.0,0.0,0.0,0.020647597314862397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
among,0.0,0.0,0.0,0.0,0.017981449583719382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751939451021994,0.0,0.0
amongst,0.0,0.0,0.0,0.0,0.0,0.0,0.01698939843757939,0.015722679040508683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018053914064480054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0,0.018781851079068438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ancient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019529931263361347,0.0
android,0.0,0.0,0.0,0.0,0.0,0.020739554921327053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019809090207814753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angrily,0.0,0.0,0.0,0.019861348916918146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018053914064480054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020148100765468246,0.0,0.0,0.0,0.0,0.0,0.0
angsty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635380053265906
animal,0.0,0.014686501173731754,0.0,0.0,0.014622500686321063,0.0,0.0,0.0,0.0,0.028537520640143185,0.013166245850017185,0.0,0.0,0.0,0.0,0.0
animate,0.0,0.0,0.0,0.0,0.0,0.01806153304521219,0.0,0.0,0.0,0.0,0.0,0.018209796021932564,0.0,0.0,0.0,0.0
animated,0.0,0.0,0.00915523125055922,0.009681433502849838,0.010064691035521019,0.0,0.009509413874419736,0.0,0.009655959945175298,0.019642421930712074,0.01812469692028766,0.0,0.0,0.009806066638499245,0.009519883651024437,0.0
animation,0.0,0.0,0.0,0.015477097984908927,0.016089787664062355,0.0,0.0,0.0,0.0,0.0,0.014487405718352333,0.0,0.0,0.0,0.0,0.0
anime,0.0,0.0,0.0,0.029044300508549514,0.0,0.0,0.009509413874419736,0.04400198828704496,0.0,0.009821210965356037,0.0,0.04077001021020046,0.009777720117714384,0.009806066638499245,0.009519883651024437,0.047856423821986634
announce,0.0,0.018060151685527822,0.0,0.0,0.0,0.0,0.0,0.0,0.017251215792298304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annoy,0.0,0.0,0.0,0.0,0.0,0.01806153304521219,0.0,0.0,0.0,0.0,0.016190677028342343,0.0,0.0,0.0,0.0,0.0
annoying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020117032353984963,0.0,0.0
another,0.0,0.0,0.015171874785367216,0.024065830697470054,0.00833950710611518,0.008376648527505713,0.007879409740530436,0.014583851315770162,0.01600167283723963,0.0,0.007508975597436123,0.008445410511470169,0.008101725737581304,0.0,0.01577616979535988,0.007930675370524321
antagonist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015722679040508683,0.0,0.0,0.0,0.018209796021932564,0.0,0.0,0.0,0.0
anticipate,0.0,0.0,0.0,0.0,0.0,0.016161446285622487,0.015202101039078889,0.014068641468207018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
