clip_name,context_word,genre_code,TSNE1,TSNE2
80s_LOW_02,bar,80s,-12.267724,-9.077058
80s_LOW_06,bar,80s,-9.489798,-13.798972
80s_MED_08,bar,80s,-1.2588197,-17.403948
80s_MED_13,bar,80s,1.2625104,-15.577732
Ele_LOW_09,bar,Ele,9.034958,-3.3286657
Ele_LOW_14,bar,Ele,2.2959368,-4.885744
Ele_MED_19,bar,Ele,-1.0220681,-10.153781
Ele_MED_20,bar,Ele,-2.1705372,-13.427255
Jaz_LOW_19,bar,Jaz,-6.7664986,0.8526751
Jaz_LOW_21,bar,Jaz,-12.4426565,-15.843311
Jaz_MED_02,bar,Jaz,-10.171641,-10.432838
Jaz_MED_07,bar,Jaz,-5.9132085,-8.709585
Met_LOW_09,bar,Met,5.361907,7.08766
Met_LOW_14,bar,Met,1.4000579,1.210213
Met_MED_19,bar,Met,3.9104362,5.989841
Met_MED_20,bar,Met,-3.6988292,6.1942086
80s_LOW_02,concert,80s,-4.2819858,-7.409726
80s_LOW_06,concert,80s,-2.7715657,-3.3603477
80s_MED_08,concert,80s,-11.452789,-1.7536764
80s_MED_13,concert,80s,3.3119707,-13.665679
Ele_LOW_09,concert,Ele,7.2113934,-2.0226238
Ele_LOW_14,concert,Ele,3.0858622,-4.1227655
Ele_MED_19,concert,Ele,-10.42766,-6.683768
Ele_MED_20,concert,Ele,8.329645,-9.7737875
Jaz_LOW_19,concert,Jaz,-13.642146,-5.740312
Jaz_LOW_21,concert,Jaz,-2.8167405,-18.86501
Jaz_MED_02,concert,Jaz,-16.286098,-9.6442
Jaz_MED_07,concert,Jaz,-7.8615556,-8.566721
Met_LOW_09,concert,Met,1.899832,9.158123
Met_LOW_14,concert,Met,-5.9115314,4.6277595
Met_MED_19,concert,Met,-2.5155597,4.0006423
Met_MED_20,concert,Met,-0.81169575,4.3847866
80s_LOW_02,movie,80s,-13.178108,-12.257185
80s_LOW_06,movie,80s,-4.307265,-4.1046333
80s_MED_08,movie,80s,-6.66308,-3.0568757
80s_MED_13,movie,80s,-16.093468,-2.4682724
Ele_LOW_09,movie,Ele,4.9476986,0.19633259
Ele_LOW_14,movie,Ele,6.098948,-6.172678
Ele_MED_19,movie,Ele,-1.538408,-7.644949
Ele_MED_20,movie,Ele,-7.6503043,-17.512968
Jaz_LOW_19,movie,Jaz,-5.3515997,-12.234359
Jaz_LOW_21,movie,Jaz,-10.552038,9.304881
Jaz_MED_02,movie,Jaz,-7.279904,-6.7275453
Jaz_MED_07,movie,Jaz,-6.7851996,-10.15072
Met_LOW_09,movie,Met,8.963733,5.0090094
Met_LOW_14,movie,Met,3.7205863,1.773623
Met_MED_19,movie,Met,-1.370171,2.8051176
Met_MED_20,movie,Met,-1.1448804,6.8662305
80s_LOW_02,videogame,80s,-4.2395945,-10.137073
80s_LOW_06,videogame,80s,-8.997882,-3.86722
80s_MED_08,videogame,80s,-2.15113,-1.3754154
80s_MED_13,videogame,80s,1.7852204,-7.6734104
Ele_LOW_09,videogame,Ele,6.115841,-0.35452864
Ele_LOW_14,videogame,Ele,5.05279,-4.747753
Ele_MED_19,videogame,Ele,-5.298227,-14.432676
Ele_MED_20,videogame,Ele,3.1149325,-9.451637
Jaz_LOW_19,videogame,Jaz,-7.902432,1.2711658
Jaz_LOW_21,videogame,Jaz,-9.300045,9.075146
Jaz_MED_02,videogame,Jaz,-7.8893976,-11.746496
Jaz_MED_07,videogame,Jaz,-9.716452,-8.971171
Met_LOW_09,videogame,Met,6.9409485,4.5240335
Met_LOW_14,videogame,Met,2.0853376,-1.4189824
Met_MED_19,videogame,Met,8.000184,0.91331947
Met_MED_20,videogame,Met,2.0549355,5.3001013
