TSNE1,TSNE2,term
-2.5459898,23.831503,people
-2.568948,23.864157,dance
-0.27877614,19.446512,could
1.1728818,22.870306,character
-0.47201875,21.171232,would
2.1593826,-21.230824,start
-7.055555,19.151058,feel
0.22451006,20.962711,something
8.824007,14.274467,old
1.0953119,18.340542,one
7.480151,22.037579,show
1.1380836,21.73708,get
4.1584263,25.80177,stage
-12.19176,-16.903831,fight
5.1709948,19.485506,someone
0.7197848,19.38516,hear
1.1719258,21.416769,go
-11.389677,-17.730003,action
4.8709884,25.37438,crowd
-0.76438475,14.937284,friend
5.3475165,25.122496,light
3.5777154,21.211136,lot
4.0304513,18.719805,listen
13.10793,17.55679,first
12.576717,18.353071,mario
0.7949676,16.688618,time
4.6950727,17.832708,felt
-2.7269483,19.380644,watch
-2.376142,17.972052,see
10.766607,-18.777155,walk
-22.752344,7.2382817,restaurant
-7.5362415,-19.377008,car
-2.6851614,14.395445,around
-6.4829516,15.459985,maybe
1.7651328,19.69714,also
24.510765,4.6736627,sit
-21.601324,2.4740403,city
-0.23834753,-19.506084,come
-4.296617,17.425112,use
9.991513,23.711672,end
9.157893,-8.323302,beat
-20.104158,-8.11411,black
9.425445,11.191794,man
24.504286,4.688852,drink
0.5165535,14.850431,night
-12.691886,-16.448883,bos
5.57288,15.676259,really
1.8214191,13.518456,kind
2.481974,15.993387,give
-5.547004,19.56466,background
8.346123,5.23947,vibe
-21.34154,2.4263318,new
7.9319687,9.887072,sort
-6.0646896,14.449074,type
1.1970644,15.694994,enjoy
-1.9734119,16.706717,fun
-9.847728,-18.397865,chase
-6.955149,17.704044,look
6.292263,-14.599967,love
14.958319,-7.1750526,romantic
9.991374,23.73283,credit
11.095027,12.949082,bit
8.494983,-14.778501,slow
-2.067915,16.94116,similar
5.7166586,9.438099,live
9.896559,12.870085,style
8.268813,-20.066378,dark
-1.8289613,13.904799,good
10.920967,5.828588,main
-5.3605156,21.09241,club
9.331611,-8.678015,sad
-21.355385,8.52296,dress
3.563798,20.400408,thing
6.830727,-13.987048,two
-0.7261728,-19.216719,mind
-8.8301935,-15.409855,hero
-4.215268,12.228748,party
1.8906738,14.239816,place
-7.7973986,-18.903896,race
-1.2179712,12.298958,back
9.123811,3.8640125,set
3.5735826,15.285905,everyone
-7.3539677,12.566603,street
-4.139883,13.021698,theme
-14.895193,8.388088,kid
-13.119732,18.305191,relax
9.660064,17.575508,part
18.834883,-1.135635,happy
-13.184365,18.452518,calm
18.664278,-3.848951,day
5.5068274,-16.263723,introduction
2.1128323,15.14422,feeling
3.858168,6.6216445,try
14.645106,-7.7495995,woman
8.634835,-11.7424345,quite
-8.227848,11.514377,cool
6.1939225,-12.496855,white
0.31246448,-10.400925,big
-4.6355796,16.802294,much
-21.318752,8.87615,wear
-22.02664,7.7330675,fancy
9.4189005,5.778206,seem
15.97633,13.726267,retro
-9.273384,-17.476942,battle
-6.836468,-12.211796,high
-17.420963,-7.5383973,head
8.089872,9.150438,well
4.3406286,9.169147,small
15.082243,10.949196,run
-16.826569,-10.271591,long
13.648185,6.4728994,fast
-10.559015,-0.36220318,perform
7.8965364,1.4888766,screen
8.894883,6.985785,room
-1.3800769,12.421754,school
-10.3024845,18.406092,moment
-1.3639271,-1.3268989,take
8.775092,-19.113941,life
15.751712,-2.1013086,drive
-6.2331243,10.012722,family
15.997886,13.56745,arcade
2.6604452,4.034194,work
9.87463,-18.245941,alone
4.3306518,-9.097778,move
-4.587466,11.546285,tv
-15.0924835,6.1532316,young
1.0942872,11.446623,want
9.633755,-17.869562,rain
-8.976884,-14.224151,anime
7.4031296,-7.780416,window
13.578599,-12.002292,couple
-5.4349055,-11.772099,ready
18.979847,-4.8521404,person
-2.3618302,7.279308,tune
5.268757,0.427951,beach
8.908982,21.859287,comedy
10.680942,9.134514,player
-12.183489,1.7469761,wait
-5.895853,13.586517,different
-20.14298,7.0174203,lit
-0.96298116,0.38934767,great
-15.789025,-10.129404,heavy
11.936617,12.277797,level
-3.769955,-17.478226,energy
10.285333,-6.736827,beginning
-14.837531,2.1477017,say
-13.238415,10.888195,elevator
-4.5353765,7.711815,dancing
-4.7881036,-0.43671936,event
-14.106087,7.9886656,child
11.622024,9.857664,bring
-4.01368,-12.84799,guy
-15.987368,-5.534866,loud
0.49805015,-12.52662,begin
-17.666386,-6.975937,open
-20.002491,2.2035282,york
-13.857221,9.99201,cartoon
-0.3409626,2.9570255,fit
-2.5030653,-9.653856,early
19.792353,7.428742,festival
15.080721,9.514626,space
-19.070648,1.9351174,suit
14.37487,-8.218943,date
-3.9610367,-12.573122,soundtrack
5.7733793,3.480539,little
12.66131,-4.943229,nice
3.52555,12.261965,opening
-18.09382,-9.438275,hair
-18.711428,-9.662917,air
-16.48267,-7.6774254,hard
18.45197,3.5912411,build
8.148893,0.2941317,world
-14.260669,3.056895,track
15.152942,8.737974,futuristic
4.046108,-12.020918,blue
-3.1532295,8.934502,late
-0.82247597,-6.7198606,fall
2.3582308,-4.016252,along
6.069164,7.999639,close
14.975771,-9.422611,dinner
-2.2994146,10.3062,talk
14.688649,0.2607788,adventure
-6.931179,7.570842,area
13.749027,-11.0048485,table
1.9704336,5.4375463,keep
2.2586155,9.305778,floor
-9.391025,-11.081261,especially
-8.284519,5.792013,laugh
-12.211985,-14.390185,attack
13.248794,11.691736,sonic
14.102122,0.7871255,happen
0.59541845,-15.598342,sing
17.233229,-11.327126,quiet
-10.019604,3.8582683,upbeat
1.3537083,-3.537949,right
-8.178143,9.446768,series
21.715027,11.296601,menu
-8.879653,2.4921622,group
19.04546,-5.923693,know
-12.461477,-10.192477,roll
-1.0662309,8.680414,specifically
15.330493,-13.975037,smoke
5.024138,7.702728,whilst
12.613328,-4.8747177,evening
17.096647,-14.089817,detective
1.8064166,-0.533997,almost
16.151794,-2.9074564,road
12.566242,-10.009847,warm
-3.823345,6.767194,middle
6.7140365,7.5655293,together
3.7232428,8.752186,cocktail
