ClipContext_pair,clip_name,context_word,genre_code,TSNE1,TSNE2
BAR-80s_LOW_02,80s_LOW_02,bar ,80s,-0.606782,2.8742697
BAR-80s_LOW_06,80s_LOW_06,bar ,80s,0.5829584,1.7305781
BAR-80s_MED_08,80s_MED_08,bar ,80s,0.021899965,1.1624277
BAR-80s_MED_13,80s_MED_13,bar ,80s,-0.79064006,1.567824
BAR-Ele_LOW_09,Ele_LOW_09,bar ,Ele,0.16358005,0.10958213
BAR-Ele_LOW_14,Ele_LOW_14,bar ,Ele,-0.43941647,0.576485
BAR-Ele_MED_19,Ele_MED_19,bar ,Ele,-1.5096581,2.4920306
BAR-Ele_MED_20,Ele_MED_20,bar ,Ele,1.6843389,3.2569106
BAR-Jaz_LOW_19,Jaz_LOW_19,bar ,Jaz,-1.39082,1.233883
BAR-Jaz_LOW_21,Jaz_LOW_21,bar ,Jaz,-0.37041953,1.3715905
BAR-Jaz_MED_02,Jaz_MED_02,bar ,Jaz,-0.22499856,2.1996105
BAR-Jaz_MED_07,Jaz_MED_07,bar ,Jaz,-0.07278203,2.5661707
BAR-Met_LOW_09,Met_LOW_09,bar ,Met,1.8448553,-0.007622629
BAR-Met_LOW_14,Met_LOW_14,bar ,Met,0.28610793,-1.0985628
BAR-Met_MED_19,Met_MED_19,bar ,Met,1.1153693,-0.29913214
BAR-Met_MED_20,Met_MED_20,bar ,Met,1.7409147,-0.7280045
CONCERT-80s_LOW_02,80s_LOW_02,concert ,80s,0.21268079,3.4651577
CONCERT-80s_LOW_06,80s_LOW_06,concert ,80s,0.7636924,1.5009093
CONCERT-80s_MED_08,80s_MED_08,concert ,80s,1.7440457,1.1447624
CONCERT-80s_MED_13,80s_MED_13,concert ,80s,1.181815,2.3672316
CONCERT-Ele_LOW_09,Ele_LOW_09,concert ,Ele,-0.31462142,0.08220359
CONCERT-Ele_LOW_14,Ele_LOW_14,concert ,Ele,-0.50063837,0.42735425
CONCERT-Ele_MED_19,Ele_MED_19,concert ,Ele,-1.1892152,3.362125
CONCERT-Ele_MED_20,Ele_MED_20,concert ,Ele,2.8428164,0.8929476
CONCERT-Jaz_LOW_19,Jaz_LOW_19,concert ,Jaz,-0.30535907,1.6394991
CONCERT-Jaz_LOW_21,Jaz_LOW_21,concert ,Jaz,-2.1823933,0.12874532
CONCERT-Jaz_MED_02,Jaz_MED_02,concert ,Jaz,1.0442563,3.4395008
CONCERT-Jaz_MED_07,Jaz_MED_07,concert ,Jaz,0.2976983,2.547478
CONCERT-Met_LOW_09,Met_LOW_09,concert ,Met,2.0837066,-0.19082293
CONCERT-Met_LOW_14,Met_LOW_14,concert ,Met,1.0702488,-0.03378704
CONCERT-Met_MED_19,Met_MED_19,concert ,Met,1.4273206,-0.42473373
CONCERT-Met_MED_20,Met_MED_20,concert ,Met,1.1442956,-0.18687294
MOVIE-80s_LOW_02,80s_LOW_02,movie,80s,-0.2598204,3.7527585
MOVIE-80s_LOW_06,80s_LOW_06,movie,80s,1.0827776,1.4522951
MOVIE-80s_MED_08,80s_MED_08,movie,80s,1.4764237,1.4316412
MOVIE-80s_MED_13,80s_MED_13,movie,80s,1.8005723,2.3151083
MOVIE-Ele_LOW_09,Ele_LOW_09,movie,Ele,0.062367726,-0.17266339
MOVIE-Ele_LOW_14,Ele_LOW_14,movie,Ele,-1.1204436,-0.7507369
MOVIE-Ele_MED_19,Ele_MED_19,movie,Ele,-1.8284222,2.396848
MOVIE-Ele_MED_20,Ele_MED_20,movie,Ele,2.4712949,1.8072346
MOVIE-Jaz_LOW_19,Jaz_LOW_19,movie,Jaz,-1.367319,1.3500637
MOVIE-Jaz_LOW_21,Jaz_LOW_21,movie,Jaz,-1.8141811,0.20563465
MOVIE-Jaz_MED_02,Jaz_MED_02,movie,Jaz,0.44783998,2.668877
MOVIE-Jaz_MED_07,Jaz_MED_07,movie,Jaz,0.16177975,2.7776284
MOVIE-Met_LOW_09,Met_LOW_09,movie,Met,0.87124205,-1.6580436
MOVIE-Met_LOW_14,Met_LOW_14,movie,Met,0.009777147,-1.0172417
MOVIE-Met_MED_19,Met_MED_19,movie,Met,0.6043225,0.1575428
MOVIE-Met_MED_20,Met_MED_20,movie,Met,1.1718047,0.059449397
VIDEOGAME-80s_LOW_02,80s_LOW_02,video game,80s,-0.5932389,3.126923
VIDEOGAME-80s_LOW_06,80s_LOW_06,video game,80s,0.5924871,0.84313035
VIDEOGAME-80s_MED_08,80s_MED_08,video game,80s,0.42153388,1.2310005
VIDEOGAME-80s_MED_13,80s_MED_13,video game,80s,-1.0173059,0.48949906
VIDEOGAME-Ele_LOW_09,Ele_LOW_09,video game,Ele,0.017612912,0.014128368
VIDEOGAME-Ele_LOW_14,Ele_LOW_14,video game,Ele,-0.8235988,-0.47965693
VIDEOGAME-Ele_MED_19,Ele_MED_19,video game,Ele,-1.332647,2.705279
VIDEOGAME-Ele_MED_20,Ele_MED_20,video game,Ele,-2.466285,1.4700392
VIDEOGAME-Jaz_LOW_19,Jaz_LOW_19,video game,Jaz,-1.4973449,1.1894034
VIDEOGAME-Jaz_LOW_21,Jaz_LOW_21,video game,Jaz,-1.7262315,0.24347167
VIDEOGAME-Jaz_MED_02,Jaz_MED_02,video game,Jaz,0.32536227,3.0036786
VIDEOGAME-Jaz_MED_07,Jaz_MED_07,video game,Jaz,-0.019557042,2.4195058
VIDEOGAME-Met_LOW_09,Met_LOW_09,video game,Met,0.3271606,-1.0368893
VIDEOGAME-Met_LOW_14,Met_LOW_14,video game,Met,-0.40360186,-1.4306118
VIDEOGAME-Met_MED_19,Met_MED_19,video game,Met,0.9820528,-0.46568197
VIDEOGAME-Met_MED_20,Met_MED_20,video game,Met,1.1675982,-0.8813185
