TSNE1,TSNE2,term
-16.63034,-18.11168,endofasubhere
-15.979479,-18.301737,like
-15.686126,-18.40646,play
-15.322524,-20.69158,people
-15.335909,-20.810968,dance
22.060183,6.3449883,band
-13.93304,-16.774805,could
-10.629265,-19.908453,character
-12.123076,-17.638622,would
-17.404644,-12.748699,start
-10.953452,-14.230576,feel
-12.420238,-18.289303,something
9.83715,20.433826,guitar
-6.855394,16.15374,old
-13.137656,-15.151578,one
-23.282957,-1.865701,show
-11.414484,-18.965609,get
20.565018,-2.6750765,game
-10.848542,-18.69607,remind
19.208525,-8.336901,fight
-9.6455765,-15.924149,someone
-13.452319,-16.29437,hear
21.847906,5.9872794,stage
-12.224965,-19.114065,go
18.308664,-8.578529,action
21.053707,4.713725,crowd
-9.275681,15.506174,friend
20.632307,3.8538353,light
-8.798809,-14.935678,listen
8.932714,-9.106557,lot
-17.927193,-12.056145,first
-19.122732,-11.9468775,mario
-12.249744,-12.137375,time
-8.557314,-13.855742,felt
-11.565078,-15.250312,watch
-15.944457,-2.234277,walk
-1.6919041,-19.552761,restaurant
12.002672,15.063692,see
14.825858,-8.316364,car
-15.654788,4.6041517,around
3.4110284,-6.49889,maybe
6.818755,-9.7522545,also
-3.173723,-20.029558,piano
-13.540914,-11.925676,city
-9.211199,-11.885041,sit
-8.359915,-17.570005,come
-23.29988,0.62174225,end
-13.23488,-7.642223,use
-19.131542,-6.6319304,beat
-0.5080255,-11.940472,man
-9.662237,-11.738112,drink
-6.475916,-15.698858,black
-7.9991093,-8.474728,night
19.74605,-8.145492,bos
-8.793282,-9.854987,give
-10.118995,-13.77437,background
-10.524731,-8.230706,kind
-6.5954165,-13.251963,really
-17.379158,0.8713289,vibe
-13.937024,-11.577931,new
-0.10613378,-10.756209,sort
3.2798288,-5.514877,type
-10.800702,-11.226576,enjoy
11.299561,14.219717,fun
0.08848706,-21.424107,romantic
16.605848,-10.0853405,chase
-7.1637836,-15.375745,look
-23.26459,0.6323916,credit
-10.9361105,-10.462705,playing
-6.117691,-11.019167,love
-5.5046325,-10.07696,slow
19.718935,-3.6416194,bit
0.9051396,-11.408307,style
11.504192,14.454588,similar
5.6278152,-6.364331,main
-7.9075446,14.516083,good
-13.725545,-4.879583,dark
13.262921,17.417557,live
-19.094427,-6.1999135,sad
-2.2578278,-12.6296625,club
-3.95723,-18.633074,dress
8.491353,-8.588048,thing
-4.6072326,-11.527101,two
-8.000465,-18.069199,mind
10.259868,12.706284,party
-10.3878565,-8.779334,place
5.7110333,-8.091686,movie
-7.4558654,14.326297,back
-17.798672,-0.51071185,set
15.293089,-8.051574,race
13.338061,7.349268,street
11.190461,12.327411,theme
9.62588,19.909586,hero
-7.306017,-11.667843,everyone
-13.124119,6.706531,relax
-6.8910255,-11.4550705,thought
-25.244808,-0.79349774,happy
-13.188739,6.8246527,calm
-2.408927,20.659052,kid
15.745377,-11.355946,part
-12.986099,12.411622,introduction
9.361685,-14.456113,day
-8.84872,-9.231648,feeling
0.21435651,-20.625038,woman
6.246733,-10.002014,try
-13.221855,15.712081,quite
13.016627,7.7323174,cool
-3.0180514,-14.255932,white
-13.227118,-7.002437,much
-10.620754,-6.8118305,big
-4.1721187,-18.658932,wear
-2.8904793,-19.440197,fancy
21.813795,-3.432983,retro
-5.236654,-12.473763,seem
3.0245929,15.2867365,head
16.680704,-8.182904,battle
17.113676,-2.6234329,run
6.8794737,-6.248519,high
-1.7741289,-8.16929,small
-0.56296825,-10.238172,well
3.6521478,18.028627,long
14.262242,-4.958895,fast
2.107527,8.244013,perform
-9.08586,9.721571,screen
-13.593921,-3.416017,life
-6.8685994,14.205152,school
-10.670302,2.7037919,moment
13.972853,1.4650526,take
-5.084819,-13.375106,room
11.056182,10.319873,family
10.918087,-12.5119095,drive
-1.2503675,-7.0132027,instrument
-15.027401,-2.916673,alone
-10.081412,1.4955451,work
-3.8148441,-6.0174556,move
21.93049,-3.5272207,arcade
9.733077,11.998913,tv
13.713669,9.689645,young
-15.181293,-3.2159379,rain
-9.333521,-7.0624566,want
3.130712,-16.286898,couple
-17.999554,-4.934095,window
11.081712,-2.7427778,ready
-15.329281,2.093756,saxophone
8.4950905,-14.289281,person
-13.647998,4.27218,beach
5.4427967,-3.734031,tune
9.347442,19.215885,anime
-24.381035,-1.0468335,comedy
-1.0459517,7.260001,wait
3.1299937,-4.4349923,different
-3.023413,-17.071457,lit
-2.4701355,-5.504669,great
-1.9485835,-10.344021,player
-17.728779,-8.70896,beginning
-9.113223,-6.1991014,say
-1.9099219,18.707657,elevator
16.491987,3.7664785,energy
19.27303,-1.9239458,level
4.7393675,18.282906,heavy
16.901773,15.260367,dancing
-2.0103726,-1.8730595,event
-1.823756,20.51186,child
-16.510632,7.789263,begin
