ClipContext_pair,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
BAR-80s_LOW_02,1.0000002,0.9316521,0.9310192,0.93518853,0.9075672,0.92853844,0.9624686,0.9642541,0.93094546,0.9448772,0.96972483,0.9589443,0.93184716,0.92669654,0.94451743,0.91458726,0.9574953,0.9165827,0.940686,0.9471028,0.9210603,0.9032376,0.94591975,0.94174623,0.9392547,0.93221885,0.9401123,0.9560078,0.9177681,0.91347855,0.9069888,0.8986305,0.9676758,0.9231688,0.94599146,0.9533259,0.90008694,0.8987429,0.947695,0.9573373,0.9376,0.9303894,0.9642628,0.9517146,0.8974197,0.8828027,0.9130951,0.92827785,0.962558,0.93406343,0.9399766,0.9417062,0.901513,0.878313,0.9503933,0.9401937,0.89300287,0.9252702,0.95875347,0.9602521,0.89381063,0.88213015,0.8719655,0.8886529
BAR-80s_LOW_06,0.9316521,1.0000008,0.9478946,0.92502546,0.88684577,0.92428416,0.911895,0.91562974,0.92946994,0.9608166,0.9519421,0.9455822,0.9236314,0.8923332,0.91328436,0.90136456,0.9337189,0.9550069,0.92828566,0.922041,0.91180766,0.8926322,0.9303498,0.87447995,0.9336091,0.93783885,0.9426765,0.9561135,0.8986349,0.91340655,0.8939142,0.903558,0.9200947,0.9147262,0.9232688,0.91338557,0.8465794,0.8591556,0.9037621,0.89234966,0.9260013,0.9092058,0.9434495,0.9362642,0.85073036,0.8273875,0.8896625,0.9112854,0.8928211,0.9123169,0.92299294,0.8927504,0.84920776,0.84270364,0.8896568,0.87388134,0.87915903,0.89892644,0.92518157,0.9484757,0.8558705,0.82464683,0.8402823,0.85684836
BAR-80s_MED_08,0.9310192,0.9478946,1.0000002,0.9448085,0.9274537,0.94915307,0.93756336,0.9246674,0.9613612,0.965672,0.94834584,0.948743,0.9413905,0.9336545,0.93992287,0.9457325,0.9445957,0.95849663,0.95173514,0.93033314,0.93535036,0.91766655,0.9301709,0.8954926,0.95610875,0.9651178,0.93976396,0.94469154,0.9212695,0.9357305,0.9315609,0.93566316,0.93951297,0.9453333,0.9547177,0.9353515,0.8967093,0.9136049,0.94041574,0.92679006,0.9520045,0.94835955,0.95248187,0.9210258,0.90092033,0.88637555,0.93831104,0.95034844,0.9233136,0.9562162,0.952708,0.9340937,0.8986634,0.8889353,0.9336679,0.89819217,0.92122686,0.94520676,0.94530874,0.948697,0.90019953,0.874669,0.88674223,0.9078124
BAR-80s_MED_13,0.93518853,0.92502546,0.9448085,0.9999997,0.9362738,0.95802844,0.95305634,0.9188252,0.9691585,0.94486034,0.94265515,0.9391891,0.92657113,0.939617,0.933737,0.9527739,0.9474085,0.93698484,0.9539517,0.9543902,0.9421593,0.9371406,0.9331831,0.91166097,0.9542323,0.9452845,0.9342683,0.9474925,0.9254223,0.9293678,0.93522346,0.9246085,0.9301765,0.9453687,0.94512415,0.95554024,0.9123738,0.93508875,0.94583,0.92243606,0.9600277,0.94456017,0.9483903,0.9065307,0.9071588,0.90533364,0.92992955,0.94097155,0.92716014,0.9556341,0.945671,0.95664215,0.9195473,0.9172152,0.93775415,0.92746854,0.94260395,0.9419405,0.949577,0.9462197,0.913077,0.9073056,0.9061643,0.9251725
BAR-Ele_LOW_09,0.9075672,0.88684577,0.9274537,0.9362738,0.99999976,0.9576008,0.9349157,0.9069083,0.9504036,0.9210358,0.9116216,0.8969587,0.93165547,0.95162755,0.9536097,0.95880026,0.9147998,0.91844684,0.92941564,0.9141203,0.9594599,0.9467755,0.9100969,0.91583014,0.9539342,0.9244959,0.8990861,0.90709776,0.9365337,0.9416066,0.94334936,0.92480993,0.9092915,0.9218701,0.9297296,0.9159172,0.9515397,0.95045036,0.9322797,0.91655487,0.9476794,0.92811805,0.91144544,0.8636503,0.9357199,0.9339867,0.96240145,0.942445,0.9139013,0.95069236,0.9317273,0.9384065,0.9628377,0.9345678,0.9353161,0.9152614,0.9405751,0.92980015,0.91783744,0.90276766,0.9357527,0.931782,0.9252807,0.9427464
BAR-Ele_LOW_14,0.92853844,0.92428416,0.94915307,0.95802844,0.9576008,1.0000001,0.9376188,0.92102826,0.9697641,0.9472347,0.933481,0.92327225,0.94641393,0.950919,0.9545034,0.9533622,0.93236035,0.94168645,0.9423899,0.9346059,0.96041584,0.9746841,0.9265175,0.9101719,0.9631719,0.94773424,0.9269055,0.9337928,0.9414095,0.9446002,0.942581,0.93266296,0.92086226,0.92689514,0.9404366,0.9304212,0.9273684,0.95768505,0.93742275,0.915652,0.9632673,0.94222224,0.9376736,0.8999164,0.9252306,0.9186294,0.9448269,0.94619554,0.92176926,0.9567089,0.95341223,0.9513763,0.9431232,0.94946325,0.93715346,0.91977465,0.95533985,0.9457502,0.94259745,0.93359125,0.9329822,0.9229053,0.9256817,0.94311917
BAR-Ele_MED_19,0.9624686,0.911895,0.93756336,0.95305634,0.9349157,0.9376188,1.0000002,0.95970535,0.9479568,0.93817663,0.95880187,0.9478027,0.9357203,0.9413508,0.9484432,0.9407652,0.9487037,0.9133271,0.9440423,0.95219904,0.9376421,0.91461974,0.9438204,0.95019937,0.94657665,0.9303642,0.9260384,0.94172406,0.92008996,0.92487806,0.9233221,0.91271704,0.9552155,0.9277811,0.9488087,0.95581144,0.9261401,0.9161803,0.9628129,0.96057355,0.9490019,0.9338997,0.95224303,0.9251581,0.9145443,0.9097929,0.9398607,0.94089895,0.95798796,0.9531615,0.93645877,0.952606,0.9292385,0.89755154,0.9634406,0.9526009,0.9063664,0.9325955,0.94749856,0.9504118,0.91163856,0.9009391,0.89104164,0.90825504
BAR-Ele_MED_20,0.9642541,0.91562974,0.9246674,0.9188252,0.9069083,0.92102826,0.95970535,0.99999994,0.9188648,0.93077743,0.9548644,0.93921465,0.9284269,0.91387564,0.9317781,0.90997696,0.9378161,0.9057332,0.93045866,0.942453,0.91777045,0.8908571,0.93325734,0.95305806,0.9279733,0.9149913,0.9208535,0.92830896,0.9027149,0.8992252,0.89615977,0.8866098,0.95803267,0.90750676,0.9395342,0.9464538,0.90451515,0.8935824,0.94523376,0.9627364,0.92412627,0.91337544,0.9429031,0.92566526,0.88884646,0.8863078,0.91672325,0.92100286,0.94969517,0.9376406,0.9269907,0.93683976,0.90079343,0.87278426,0.9440563,0.943822,0.880324,0.90687984,0.9383289,0.93833816,0.8895007,0.8727602,0.8682425,0.8853174
BAR-Jaz_LOW_19,0.93094546,0.92946994,0.9613612,0.9691585,0.9504036,0.9697641,0.9479568,0.9188648,1.0000004,0.95611244,0.94534254,0.94417226,0.9449842,0.95579386,0.95534116,0.9623168,0.9445244,0.94570017,0.95066243,0.93885493,0.9448307,0.94942766,0.92738867,0.9065149,0.9727095,0.95753413,0.9389252,0.9473296,0.9351535,0.94699425,0.9537308,0.94290316,0.9331679,0.9398547,0.94591534,0.93816316,0.9239353,0.95011014,0.9425479,0.9230919,0.975787,0.94956017,0.94601655,0.9091462,0.9269137,0.92414916,0.95385,0.9541209,0.92172384,0.965706,0.9570794,0.95522857,0.9293109,0.9355379,0.94584256,0.91816247,0.9627811,0.9508993,0.9521439,0.9482903,0.93211746,0.9246947,0.92792356,0.939321
BAR-Jaz_LOW_21,0.9448772,0.9608166,0.965672,0.94486034,0.9210358,0.9472347,0.93817663,0.93077743,0.95611244,1.0000001,0.9606192,0.9558522,0.9327079,0.92671645,0.9362201,0.9352101,0.9473229,0.94967127,0.94185984,0.9333228,0.9237907,0.91850823,0.92585534,0.9092055,0.9588302,0.9642749,0.947881,0.95607924,0.91023284,0.92927223,0.9185694,0.92132944,0.93740594,0.9328391,0.93998027,0.9306002,0.8847103,0.9075409,0.92662215,0.92302793,0.94940567,0.94929343,0.9520222,0.9382131,0.8977172,0.878247,0.92324364,0.93831146,0.9197221,0.9449623,0.94665056,0.9263042,0.8900978,0.8947028,0.9258395,0.9084207,0.92706877,0.9496843,0.95163614,0.9554371,0.89174855,0.8751266,0.8811674,0.8981971
