ClipContext_pair,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
BAR-80s_LOW_02,0.9999997,0.927744,0.92693096,0.93075234,0.89899826,0.92544204,0.9579825,0.96103144,0.9267935,0.9370801,0.9671184,0.9614649,0.93282515,0.92663306,0.9408304,0.9163539,0.9652179,0.9097799,0.9354863,0.94312227,0.9135391,0.89537907,0.9467253,0.93598324,0.93604076,0.92988735,0.9439385,0.9571551,0.92079145,0.922311,0.9153128,0.9293115,0.96344036,0.9159219,0.93818504,0.9482023,0.8893149,0.8893154,0.9449512,0.95480305,0.93475276,0.9237919,0.96096027,0.9482922,0.88384694,0.8686058,0.9075082,0.92922956,0.95786154,0.93448305,0.93630886,0.93718404,0.89367515,0.8698908,0.94428074,0.9334202,0.8835689,0.9161811,0.9551604,0.958585,0.8885518,0.8739219,0.8778117,0.88011134
BAR-80s_LOW_06,0.927744,0.99999994,0.9488855,0.9271419,0.88701415,0.928424,0.91102976,0.91543025,0.9274479,0.96156085,0.94738823,0.94130915,0.92108095,0.8881488,0.9065215,0.9005971,0.93573695,0.95149195,0.9303201,0.9113946,0.91058457,0.8898074,0.9195674,0.87027484,0.9333675,0.9413349,0.9377611,0.9474418,0.8918909,0.9110023,0.89044815,0.9194364,0.91598666,0.9147075,0.9218726,0.91000783,0.84058374,0.855542,0.9041536,0.8927454,0.92076623,0.90736693,0.9420615,0.9282757,0.83862936,0.81743014,0.8834273,0.90390605,0.8826492,0.9133146,0.91680914,0.88909966,0.8476909,0.84014297,0.8826467,0.8697081,0.8751986,0.89633,0.92042446,0.9426583,0.8464455,0.8192568,0.829331,0.84345114
BAR-80s_MED_08,0.92693096,0.9488855,0.99999964,0.93331194,0.91577005,0.9412736,0.9328422,0.9250306,0.9517993,0.9602337,0.94035774,0.9436794,0.9301148,0.9174713,0.92881036,0.9344637,0.93516666,0.95291066,0.9483625,0.9163686,0.9245874,0.8966846,0.9193663,0.88981813,0.9481632,0.9648362,0.9332123,0.93158937,0.9069354,0.92877096,0.92339534,0.94653946,0.9364345,0.93944573,0.95156974,0.9287399,0.88216037,0.89772666,0.9334968,0.92213863,0.9431794,0.9416525,0.94533986,0.9129902,0.8789563,0.8695832,0.9255302,0.9426988,0.9125973,0.94819,0.9434942,0.92210317,0.8874203,0.87053,0.9219749,0.88363355,0.9032124,0.9350294,0.93269145,0.94030344,0.87851846,0.8564636,0.86254716,0.8869536
BAR-80s_MED_13,0.93075234,0.9271419,0.93331194,1.0000002,0.9212026,0.95059055,0.94626606,0.916644,0.9597933,0.9335296,0.93365586,0.9309152,0.9150313,0.9237561,0.91934574,0.9441445,0.9388649,0.9320102,0.95011264,0.94748783,0.93150795,0.92055094,0.92486316,0.90294975,0.9431726,0.9355864,0.9344398,0.9384668,0.9189505,0.92378664,0.9316527,0.933742,0.92322284,0.9385705,0.93540496,0.9532789,0.89301896,0.92078537,0.9349708,0.9107047,0.95149904,0.9341165,0.939674,0.9001302,0.88699466,0.8842016,0.913819,0.92851347,0.914665,0.9473113,0.93601334,0.9463492,0.9033867,0.8983114,0.921437,0.91516536,0.92616177,0.92610765,0.9395,0.93790495,0.89387774,0.88811755,0.8849983,0.9032117
BAR-Ele_LOW_09,0.89899826,0.88701415,0.91577005,0.9212026,0.9999999,0.94854367,0.92748445,0.9030126,0.9445645,0.9103048,0.8986156,0.8930321,0.9235266,0.94136,0.9453409,0.95545435,0.9089447,0.9160458,0.9193461,0.9038123,0.9542608,0.9330997,0.9102714,0.90688926,0.9455985,0.91646904,0.8990324,0.89668125,0.9335273,0.94988924,0.947074,0.9440792,0.89946574,0.90875053,0.9177275,0.90543294,0.94128937,0.93694955,0.9193413,0.90205383,0.94015384,0.9132809,0.8953445,0.8514676,0.92031616,0.9203064,0.95574766,0.9369447,0.89816403,0.9429612,0.9206476,0.9234288,0.9533793,0.91974324,0.92371356,0.89775634,0.92460597,0.91092515,0.902319,0.8916887,0.9224437,0.9180932,0.9197128,0.92973745
BAR-Ele_LOW_14,0.92544204,0.928424,0.9412736,0.95059055,0.94854367,0.9999997,0.93215567,0.9209011,0.96454823,0.94048804,0.9238368,0.919268,0.93833315,0.93773615,0.94567764,0.94682646,0.9279846,0.9424146,0.93812394,0.92886734,0.95389,0.966507,0.92336977,0.904229,0.9548419,0.94208586,0.9276161,0.9256853,0.93760544,0.94540226,0.94181436,0.9468001,0.91476697,0.91920227,0.931836,0.9263135,0.9120944,0.9469531,0.92966837,0.9053643,0.9561091,0.93460554,0.9265174,0.892581,0.90759987,0.9020832,0.93302023,0.93975,0.90904206,0.9479494,0.9459789,0.9413996,0.9308836,0.9368088,0.92328966,0.9070326,0.94179165,0.9326832,0.9321115,0.92471975,0.91609395,0.90436566,0.9084184,0.92742014
BAR-Ele_MED_19,0.9579825,0.91102976,0.9328422,0.94626606,0.92748445,0.93215567,0.99999946,0.9577959,0.94305444,0.92711467,0.9527337,0.9479112,0.9357345,0.9381042,0.94401896,0.94360757,0.9520569,0.9084978,0.9358014,0.9486181,0.931231,0.9006643,0.9466608,0.94443977,0.9420374,0.92528534,0.9287087,0.9377563,0.9219881,0.93338674,0.93181103,0.94243884,0.9510664,0.92182195,0.94159275,0.9511859,0.9190567,0.90450084,0.96154916,0.9553944,0.94615364,0.9258232,0.94516784,0.9193117,0.89933115,0.9008623,0.9369178,0.943747,0.95150805,0.9508513,0.93175805,0.947228,0.924573,0.88699603,0.95858675,0.94284904,0.8920679,0.91866285,0.9382915,0.94777304,0.9059507,0.8930197,0.89410037,0.9006635
BAR-Ele_MED_20,0.96103144,0.91543025,0.9250306,0.916644,0.9030126,0.9209011,0.9577959,0.99999976,0.91858006,0.9264177,0.95246255,0.945444,0.9337204,0.9149624,0.9290899,0.91853386,0.95025873,0.9039573,0.92541367,0.94235665,0.9130296,0.8841863,0.9386348,0.94934803,0.9284886,0.9160903,0.9279523,0.9294496,0.9078287,0.9121878,0.9101403,0.9241924,0.9549335,0.9025157,0.9348273,0.94306886,0.8981634,0.88642466,0.94530034,0.96120304,0.92354673,0.90866786,0.9381877,0.9212439,0.8754361,0.8775038,0.91635656,0.9275049,0.94455594,0.9405566,0.9241591,0.9345704,0.8965459,0.868097,0.9402136,0.9383065,0.8739418,0.8984665,0.9344918,0.93873686,0.8874402,0.86651033,0.8805248,0.8832272
BAR-Jaz_LOW_19,0.9267935,0.9274479,0.9517993,0.9597933,0.9445645,0.96454823,0.94305444,0.91858006,0.9999992,0.9436281,0.93453074,0.93544596,0.9353478,0.9440551,0.9492262,0.95343834,0.92717797,0.9361716,0.94642705,0.92595106,0.9365415,0.9338055,0.9143912,0.89907753,0.9666021,0.9485647,0.9283507,0.9338943,0.92504394,0.93725663,0.94834876,0.9436675,0.9288855,0.9359921,0.94027066,0.9320458,0.91876084,0.94373775,0.937712,0.91756845,0.97098035,0.94367594,0.93823195,0.9006504,0.914355,0.9167195,0.9443547,0.94211006,0.91032726,0.9581041,0.95125496,0.9477904,0.9265199,0.9283861,0.9367582,0.9078258,0.9543897,0.93881327,0.9400566,0.93932474,0.9188203,0.9196788,0.9121096,0.92433035
BAR-Jaz_LOW_21,0.9370801,0.96156085,0.9602337,0.9335296,0.9103048,0.94048804,0.92711467,0.9264177,0.9436281,0.9999997,0.9525167,0.9471201,0.9224719,0.91054386,0.9203769,0.92414856,0.936595,0.94214857,0.9327817,0.9152314,0.910725,0.90247065,0.91041195,0.8982654,0.9504447,0.9579875,0.9431448,0.9445913,0.8967685,0.91820097,0.9071626,0.92570245,0.92807126,0.92522043,0.9304239,0.9214257,0.8682811,0.8904295,0.91707623,0.91402966,0.9365128,0.9410108,0.94502145,0.9333983,0.8761153,0.8562809,0.9069184,0.9234544,0.90423185,0.93688345,0.93723506,0.9118403,0.87552595,0.8786632,0.90802175,0.8922902,0.9142194,0.93900186,0.9411295,0.9467083,0.87287533,0.8574323,0.8594572,0.87478346
