ClipContext_pair,clip_name,context_word,genre_code,TSNE1,TSNE2
BAR-80s_LOW_02,80s_LOW_02,bar ,80s,-1.6289141,1.1322911
BAR-80s_LOW_06,80s_LOW_06,bar ,80s,-2.6700194,-2.0072808
BAR-80s_MED_08,80s_MED_08,bar ,80s,-3.8247848,-1.4411064
BAR-80s_MED_13,80s_MED_13,bar ,80s,-4.201858,1.0314422
BAR-Ele_LOW_09,Ele_LOW_09,bar ,Ele,-7.7654176,1.3608044
BAR-Ele_LOW_14,Ele_LOW_14,bar ,Ele,-6.4305496,0.29857638
BAR-Ele_MED_19,Ele_MED_19,bar ,Ele,-2.7177732,2.4290726
BAR-Ele_MED_20,Ele_MED_20,bar ,Ele,-1.3901745,2.187957
BAR-Jaz_LOW_19,Jaz_LOW_19,bar ,Jaz,-5.238773,0.8625563
BAR-Jaz_LOW_21,Jaz_LOW_21,bar ,Jaz,-3.1139085,-1.6402905
BAR-Jaz_MED_02,Jaz_MED_02,bar ,Jaz,-1.7375228,-0.06306186
BAR-Jaz_MED_07,Jaz_MED_07,bar ,Jaz,-1.3267443,-0.01704053
BAR-Met_LOW_09,Met_LOW_09,bar ,Met,-5.6254244,2.3262846
BAR-Met_LOW_14,Met_LOW_14,bar ,Met,-6.932418,2.9630644
BAR-Met_MED_19,Met_MED_19,bar ,Met,-5.6268187,2.2854776
BAR-Met_MED_20,Met_MED_20,bar ,Met,-6.783772,2.2469206
CONCERT-80s_LOW_02,80s_LOW_02,concert ,80s,-1.5390176,0.838565
CONCERT-80s_LOW_06,80s_LOW_06,concert ,80s,-3.8515732,-2.0262806
CONCERT-80s_MED_08,80s_MED_08,concert ,80s,-4.168646,-0.054292433
CONCERT-80s_MED_13,80s_MED_13,concert ,80s,-3.2301743,1.1472127
CONCERT-Ele_LOW_09,Ele_LOW_09,concert ,Ele,-6.8401904,1.1881006
CONCERT-Ele_LOW_14,Ele_LOW_14,concert ,Ele,-7.028904,0.074556746
CONCERT-Ele_MED_19,Ele_MED_19,concert ,Ele,-2.800545,2.0261786
CONCERT-Ele_MED_20,Ele_MED_20,concert ,Ele,-1.4162009,3.1850271
CONCERT-Jaz_LOW_19,Jaz_LOW_19,concert ,Jaz,-5.4735293,1.2333703
CONCERT-Jaz_LOW_21,Jaz_LOW_21,concert ,Jaz,-4.1723523,-1.2182102
CONCERT-Jaz_MED_02,Jaz_MED_02,concert ,Jaz,-2.1691995,-0.8671172
CONCERT-Jaz_MED_07,Jaz_MED_07,concert ,Jaz,-1.7951446,-0.4040915
CONCERT-Met_LOW_09,Met_LOW_09,concert ,Met,-7.0788918,1.5239784
CONCERT-Met_LOW_14,Met_LOW_14,concert ,Met,-6.6590242,1.5974126
CONCERT-Met_MED_19,Met_MED_19,concert ,Met,-6.87437,2.3610148
CONCERT-Met_MED_20,Met_MED_20,concert ,Met,-6.3755565,1.9259642
MOVIE-80s_LOW_02,80s_LOW_02,movie,80s,-1.9254178,1.453803
MOVIE-80s_LOW_06,80s_LOW_06,movie,80s,-4.2394824,-0.35173714
MOVIE-80s_MED_08,80s_MED_08,movie,80s,-3.8879523,0.105666764
MOVIE-80s_MED_13,80s_MED_13,movie,80s,-3.268605,0.9619771
MOVIE-Ele_LOW_09,Ele_LOW_09,movie,Ele,-7.290584,4.302934
MOVIE-Ele_LOW_14,Ele_LOW_14,movie,Ele,-8.684575,2.3863516
MOVIE-Ele_MED_19,Ele_MED_19,movie,Ele,-3.4414713,2.7627466
MOVIE-Ele_MED_20,Ele_MED_20,movie,Ele,-1.4704115,2.6553965
MOVIE-Jaz_LOW_19,Jaz_LOW_19,movie,Jaz,-5.0885406,0.87359613
MOVIE-Jaz_LOW_21,Jaz_LOW_21,movie,Jaz,-5.1659565,-1.200089
MOVIE-Jaz_MED_02,Jaz_MED_02,movie,Jaz,-2.172544,0.25816965
MOVIE-Jaz_MED_07,Jaz_MED_07,movie,Jaz,-0.904207,-0.5780973
MOVIE-Met_LOW_09,Met_LOW_09,movie,Met,-7.7973537,3.5777917
MOVIE-Met_LOW_14,Met_LOW_14,movie,Met,-7.810319,4.4188104
