TSNE1,TSNE2,term
-1.7101442,-8.527855,like
16.245195,-1.6181223,play
1.7434753,3.7655132,people
13.479957,11.909695,dance
5.540476,-7.319459,could
5.615478,-7.5246305,would
18.141226,12.173207,band
-22.081371,3.6174378,character
0.16196084,-10.928247,something
-1.3025968,1.5484451,one
-10.658319,-15.280882,feel
11.657095,-13.003241,remind
8.117643,-17.799314,get
14.179562,-13.907529,hear
-14.067407,10.16983,old
8.613392,-18.879538,go
3.3887534,-21.877869,start
15.047147,-2.019114,game
7.6163664,8.878272,show
11.891327,-14.893578,watch
-4.7327833,-0.1989331,time
-10.965208,-15.215088,felt
14.347699,-14.154348,listen
-17.347704,7.375952,someone
8.705291,-12.899817,see
-2.8490303,4.0751915,around
-19.709929,10.613314,friend
-1.2398577,-13.051892,lot
5.95777,22.066973,light
2.995742,-9.840244,maybe
1.0784979,1.7754645,also
7.302282,9.866532,stage
9.056716,-17.926908,come
-6.7427225,2.0481782,first
-8.4615965,7.840767,night
16.644547,-6.391222,fight
9.676642,-18.748182,give
7.9468727,12.295994,crowd
18.456545,8.589329,guitar
11.333098,-23.75856,walk
6.6852107,5.2917123,background
3.0531127,-15.621453,use
-7.213897,14.187952,city
-10.5214815,13.9317045,car
12.76598,-22.662512,sit
-0.76098055,-11.859096,really
14.02836,-4.2930784,action
9.320677,23.351793,black
-0.12859622,-7.9453177,type
-0.46788633,-9.447766,kind
-6.52667,-0.24146962,end
-15.534236,-17.019205,vibe
6.311975,-27.350235,beat
8.895166,-12.839891,look
-11.3154125,17.514431,restaurant
-0.1938231,-8.9746275,sort
-8.868302,23.109936,drink
-16.374916,10.349785,man
19.130896,8.319089,piano
-2.7115412,-1.6153451,new
-7.315324,-21.015457,enjoy
16.169441,-1.4569397,playing
7.9200964,-2.171336,similar
-7.868285,-19.497557,fun
-7.340689,-13.180986,love
-14.7895975,-3.252649,style
-5.0925174,-10.327078,good
-0.1432385,-6.5456724,bit
28.18901,-11.386779,mario
-4.276422,2.9052444,two
0.011694212,-11.823084,thing
3.3713624,0.8530892,main
-5.9031305,6.2584534,place
-8.912405,11.044762,club
2.1662006,-9.2190695,thought
6.905563,3.9683747,mind
-11.4166,-15.2581,feeling
-2.2108884,-20.558666,dress
-10.068199,-7.0002136,slow
6.588159,22.749067,dark
1.281954,-21.602224,set
-9.144421,9.691276,party
-4.143954,-2.6318202,back
13.205136,-16.58109,live
25.997759,-13.416877,bos
-7.6385746,15.1218195,street
-2.0956848,-11.442787,everyone
-24.141237,0.8746802,movie
-24.393373,9.321211,romantic
-4.441313,-0.744983,credit
-7.3715253,5.28123,day
6.469324,-16.41464,try
-13.779002,-4.3618655,theme
-5.444705,-12.719961,sad
0.57142717,-0.3384566,high
-2.2329297,23.785677,cool
1.0576197,-4.9010415,much
0.47107005,4.1605244,part
5.8225107,-10.404301,seem
0.96008044,-6.6269,quite
0.57558554,-1.9932793,well
8.912983,-26.619606,chase
-16.97714,10.918316,woman
-5.1674857,-7.910405,big
-5.302334,-11.9316025,happy
2.6319234,-0.72415096,small
9.135368,23.26824,white
-2.1305883,12.213732,room
8.190592,-22.09627,move
4.492421,-16.051983,work
-0.97644925,7.6901674,head
-9.287231,-22.902378,relax
-10.2155485,-1.5488051,introduction
-8.630609,13.15483,school
2.2473884,14.947115,race
-2.5316358,-5.750492,moment
9.258969,-19.218029,take
-21.037561,-10.844664,kid
3.4524856,6.531749,life
-13.592365,0.061437555,fancy
-1.1347488,-1.3763001,long
15.00866,-18.082853,perform
7.849135,-23.360003,run
4.548545,-13.241255,want
26.067953,-9.3932495,tv
10.100125,8.685634,tune
-2.0510118,-20.836777,wear
-9.908417,-8.005062,fast
16.557257,-6.2315373,battle
5.061922,18.025898,screen
-20.292587,5.1874847,hero
-4.580882,-3.4573157,ready
7.652948,-24.180862,drive
16.586655,7.1386275,instrument
-18.925987,21.219307,calm
-13.985855,9.729224,young
-11.238484,5.0854836,couple
-1.4210343,3.3121045,alone
7.595817,-1.5051117,different
-13.827752,12.455448,family
-3.1843445,11.2628765,window
5.5738544,21.185568,lit
-17.245049,7.9203777,person
6.3246756,-12.472008,say
-9.723783,8.670433,event
-6.0619454,-0.12798683,beginning
7.8738403,-16.289385,wait
-8.052978,16.279001,beach
-1.1205113,20.462198,rain
-21.016624,-10.864874,guy
0.1487782,-6.054849,little
-5.728718,-10.1425495,great
10.728126,-18.687763,bring
-16.64977,-2.9645348,retro
-21.627193,-2.5837853,soundtrack
15.224489,-0.1857767,player
-6.691938,-2.882158,open
28.06793,-14.304489,york
-3.5477948,-19.953274,hair
3.978182,11.07456,energy
13.403898,11.882789,dancing
-0.42836398,2.5344481,level
18.940952,8.61139,saxophone
-3.6422758,18.491125,air
-6.3540382,-10.824084,nice
-6.4052286,-2.7051573,close
-5.9710565,1.2949809,early
0.31255642,-17.572878,fit
-16.09693,2.8590603,arcade
-1.3459865,-18.76495,suit
-22.502205,-1.0345398,anime
5.4641747,-21.896572,fall
-2.23517,2.0119214,almost
-5.906239,1.5223448,late
1.6785516,-3.5608413,especially
-2.952073,3.148271,along
-8.777119,1.612674,opening
7.7667184,-18.890787,keep
-4.15108,-10.2085,hard
2.9201646,-19.218086,begin
