"clip_name","genre","familiarity","N","Mean","SD","SE"
"Metal_MED_20_Welcome_to_the_Family.mp3","Metal","MED",80,3.487,1.359,0.152
"Metal_MED_19_Thunderhorse.mp3","Metal","MED",80,3.275,1.387,0.155
"Electronic_LOW_09_Expansion.mp3","Electronic","LOW",80,3.225,1.449,0.162
"Metal_LOW_14_Viaje_Por_Existir.mp3","Metal","LOW",80,3.2,1.409,0.158
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","Jazz","MED",80,3.188,1.424,0.159
"80s_LOW_06_Summer_Beach.mp3","80s","LOW",80,3.15,1.433,0.16
"Metal_LOW_09_Darkside.mp3","Metal","LOW",80,3.138,1.49,0.167
"Electronic_MED_19_Looped.mp3","Electronic","MED",80,3.112,1.273,0.142
"80s_LOW_02_Breaking_Away.mp3","80s","LOW",80,3.087,1.352,0.151
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","Jazz","MED",80,3.062,1.344,0.15
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","80s","MED",80,3,1.396,0.156
"Jazz_LOW_19_Sembellogy.mp3","Jazz","LOW",80,2.962,1.307,0.146
"Electronic_LOW_14_Tape.mp3","Electronic","LOW",80,2.938,1.496,0.167
"80s_MED_08_After_Tonight.mp3","80s","MED",80,2.837,1.345,0.15
"Electronic_MED_20_The_Distance.mp3","Electronic","MED",80,2.7,1.335,0.149
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","Jazz","LOW",80,2.6,1.437,0.161
