"clip_name","clip_short","context_word","genre","arousal","N","Mean","SD","SE"
"80s_LOW_02_Breaking_Away.mp3","Breaking Away","bar","80s","LOW",16,3.25,1.291,0.323
"80s_LOW_02_Breaking_Away.mp3","Breaking Away","concert","80s","LOW",23,3.087,1.345,0.281
"80s_LOW_02_Breaking_Away.mp3","Breaking Away","movie","80s","LOW",25,2.92,1.187,0.237
"80s_LOW_02_Breaking_Away.mp3","Breaking Away","videogame","80s","LOW",16,3.188,1.721,0.43
"80s_LOW_06_Summer_Beach.mp3","Summer Beach","bar","80s","LOW",23,3,1.348,0.281
"80s_LOW_06_Summer_Beach.mp3","Summer Beach","concert","80s","LOW",14,2.786,1.672,0.447
"80s_LOW_06_Summer_Beach.mp3","Summer Beach","movie","80s","LOW",21,3.619,1.071,0.234
"80s_LOW_06_Summer_Beach.mp3","Summer Beach","videogame","80s","LOW",22,3.091,1.63,0.348
"80s_MED_08_After_Tonight.mp3","After Tonight","bar","80s","MED",26,2.923,1.44,0.282
"80s_MED_08_After_Tonight.mp3","After Tonight","concert","80s","MED",11,2.636,1.286,0.388
"80s_MED_08_After_Tonight.mp3","After Tonight","movie","80s","MED",26,2.846,1.156,0.227
"80s_MED_08_After_Tonight.mp3","After Tonight","videogame","80s","MED",17,2.824,1.59,0.386
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","Your Love Drives Me Crazy","bar","80s","MED",20,2.9,1.553,0.347
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","Your Love Drives Me Crazy","concert","80s","MED",23,2.957,1.397,0.291
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","Your Love Drives Me Crazy","movie","80s","MED",21,2.762,1.411,0.308
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","Your Love Drives Me Crazy","videogame","80s","MED",16,3.5,1.155,0.289
"Electronic_LOW_09_Expansion.mp3","Expansion","bar","Electronic","LOW",14,3.429,1.604,0.429
"Electronic_LOW_09_Expansion.mp3","Expansion","concert","Electronic","LOW",18,3,1.414,0.333
"Electronic_LOW_09_Expansion.mp3","Expansion","movie","Electronic","LOW",23,3,1.508,0.314
"Electronic_LOW_09_Expansion.mp3","Expansion","videogame","Electronic","LOW",25,3.48,1.358,0.272
"Electronic_LOW_14_Tape.mp3","Tape","bar","Electronic","LOW",19,3.105,1.595,0.366
"Electronic_LOW_14_Tape.mp3","Tape","concert","Electronic","LOW",20,2.9,1.373,0.307
"Electronic_LOW_14_Tape.mp3","Tape","movie","Electronic","LOW",21,2.619,1.465,0.32
"Electronic_LOW_14_Tape.mp3","Tape","videogame","Electronic","LOW",20,3.15,1.599,0.357
"Electronic_MED_19_Looped.mp3","Looped","bar","Electronic","MED",25,2.92,1.152,0.23
"Electronic_MED_19_Looped.mp3","Looped","concert","Electronic","MED",17,3.353,1.412,0.342
